GAME_DATE_EST,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,PTS
2014-02-04,21300724,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,38:13:00,8,18,0.444,1,7,0.143,17
2014-01-31,21300696,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,38:06:00,14,26,0.538,8,13,0.615,44
2014-01-30,21300688,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,33:41:00,8,10,0.8,4,4,1,22
2014-01-28,21300673,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,37:43:00,8,23,0.348,2,7,0.286,23
2014-01-26,21300660,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,34:38:00,13,23,0.565,5,8,0.625,38
2014-01-24,21300645,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,36:53:00,12,21,0.571,6,10,0.6,33
2014-01-20,21300615,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,41:28:00,9,20,0.45,3,11,0.273,24
2014-01-18,21300599,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,37:49:00,10,22,0.455,2,9,0.222,28
2014-01-17,21300592,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,37:57:00,11,18,0.611,6,10,0.6,37
2014-01-15,21300576,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,39:41:00,7,19,0.368,4,13,0.308,24
2014-01-10,21300541,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,40:08:00,7,18,0.389,3,8,0.375,19
2014-01-08,21300523,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,45:28:00,11,25,0.44,2,10,0.2,34
2014-01-07,21300515,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,36:14:00,5,18,0.278,2,11,0.182,15
2014-01-05,21300501,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,37:38:00,5,17,0.294,1,5,0.2,14
2014-01-03,21300483,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,34:39:00,7,15,0.467,1,7,0.143,22
2014-01-02,21300474,1610612744,GSW,Golden State,201939,Stephen Curry,,G,,43:43:00,13,22,0.591,8,15,0.533,36
